omega_keV,dPhi_dw_ma0keV_cm2_s_keV,dPhi_dw_ma10keV_cm2_s_keV,dPhi_dw_ma130keV_cm2_s_keV
7.3663,1.889489e+10,0.000000e+00,0.000000e+00
7.4063,1.852539e+10,0.000000e+00,0.000000e+00
7.4463,1.816180e+10,0.000000e+00,0.000000e+00
7.4863,1.780407e+10,0.000000e+00,0.000000e+00
7.5263,1.745216e+10,0.000000e+00,0.000000e+00
7.5662,1.710600e+10,0.000000e+00,0.000000e+00
7.6062,1.676554e+10,0.000000e+00,0.000000e+00
7.6462,1.643074e+10,0.000000e+00,0.000000e+00
7.6862,1.610153e+10,0.000000e+00,0.000000e+00
7.7262,1.577786e+10,0.000000e+00,0.000000e+00
7.7661,1.545966e+10,0.000000e+00,0.000000e+00
7.8061,1.514689e+10,0.000000e+00,0.000000e+00
7.8461,1.483948e+10,0.000000e+00,0.000000e+00
7.8861,1.453737e+10,0.000000e+00,0.000000e+00
7.9261,1.424051e+10,0.000000e+00,0.000000e+00
7.9660,1.394882e+10,0.000000e+00,0.000000e+00
8.0060,1.366226e+10,0.000000e+00,0.000000e+00
8.0460,1.338075e+10,0.000000e+00,0.000000e+00
8.0860,1.310425e+10,0.000000e+00,0.000000e+00
8.1260,1.283268e+10,0.000000e+00,0.000000e+00
8.1659,1.256598e+10,0.000000e+00,0.000000e+00
8.2059,1.230409e+10,0.000000e+00,0.000000e+00
8.2459,1.204695e+10,0.000000e+00,0.000000e+00
8.2859,1.179450e+10,0.000000e+00,0.000000e+00
8.3259,1.154667e+10,0.000000e+00,0.000000e+00
8.3658,1.130340e+10,0.000000e+00,0.000000e+00
8.4058,1.106463e+10,0.000000e+00,0.000000e+00
8.4458,1.083030e+10,0.000000e+00,0.000000e+00
8.4858,1.060034e+10,0.000000e+00,0.000000e+00
8.5258,1.037469e+10,0.000000e+00,0.000000e+00
8.5657,1.015329e+10,0.000000e+00,0.000000e+00
8.6057,9.936077e+09,0.000000e+00,0.000000e+00
8.6457,9.722991e+09,0.000000e+00,0.000000e+00
8.6857,9.513970e+09,0.000000e+00,0.000000e+00
8.7257,9.308953e+09,0.000000e+00,0.000000e+00
8.7656,9.107880e+09,0.000000e+00,0.000000e+00
8.8056,8.910690e+09,0.000000e+00,0.000000e+00
8.8456,8.717323e+09,0.000000e+00,0.000000e+00
8.8856,8.527721e+09,0.000000e+00,0.000000e+00
8.9256,8.341823e+09,0.000000e+00,0.000000e+00
8.9655,8.159571e+09,0.000000e+00,0.000000e+00
9.0055,7.980908e+09,0.000000e+00,0.000000e+00
9.0455,7.805774e+09,0.000000e+00,0.000000e+00
9.0855,7.634114e+09,0.000000e+00,0.000000e+00
9.1255,7.465871e+09,0.000000e+00,0.000000e+00
9.1654,7.300987e+09,0.000000e+00,0.000000e+00
9.2054,7.139408e+09,0.000000e+00,0.000000e+00
9.2454,6.981078e+09,0.000000e+00,0.000000e+00
9.2854,6.825943e+09,0.000000e+00,0.000000e+00
9.3254,6.673948e+09,0.000000e+00,0.000000e+00
9.3653,6.525040e+09,0.000000e+00,0.000000e+00
9.4053,6.379166e+09,0.000000e+00,0.000000e+00
9.4453,6.236273e+09,0.000000e+00,0.000000e+00
9.4853,6.096311e+09,0.000000e+00,0.000000e+00
9.5253,5.959227e+09,0.000000e+00,0.000000e+00
9.5652,5.824971e+09,0.000000e+00,0.000000e+00
9.6052,5.693492e+09,0.000000e+00,0.000000e+00
9.6452,5.564743e+09,0.000000e+00,0.000000e+00
9.6852,5.438672e+09,0.000000e+00,0.000000e+00
9.7252,5.315234e+09,0.000000e+00,0.000000e+00
9.7651,5.194379e+09,0.000000e+00,0.000000e+00
9.8051,5.076061e+09,0.000000e+00,0.000000e+00
9.8451,4.960233e+09,0.000000e+00,0.000000e+00
9.8851,4.846850e+09,0.000000e+00,0.000000e+00
9.9251,4.735867e+09,0.000000e+00,0.000000e+00
9.9650,4.627238e+09,0.000000e+00,0.000000e+00
10.0050,4.520921e+09,1.430535e+08,0.000000e+00
10.0450,4.416872e+09,4.175669e+08,0.000000e+00
10.0850,4.315047e+09,5.589580e+08,0.000000e+00
10.1249,4.215406e+09,6.602097e+08,0.000000e+00
10.1649,4.117906e+09,7.387884e+08,0.000000e+00
10.2049,4.022507e+09,8.020427e+08,0.000000e+00
10.2449,3.929169e+09,8.539578e+08,0.000000e+00
10.2849,3.837851e+09,8.970127e+08,0.000000e+00
10.3248,3.748515e+09,9.328900e+08,0.000000e+00
10.3648,3.661122e+09,9.628033e+08,0.000000e+00
10.4048,3.575635e+09,9.876675e+08,0.000000e+00
10.4448,3.492016e+09,1.008197e+09,0.000000e+00
10.4848,3.410229e+09,1.024962e+09,0.000000e+00
10.5247,3.330237e+09,1.038433e+09,0.000000e+00
10.5647,3.252005e+09,1.048998e+09,0.000000e+00
